Examen No. 1 - Topicos Avanzados de Bases de Datos - UPB 202620
Andres Felipe Martinez - ID SIGAA 000549446 - PostgreSQL 18 (Azure)
Jose Miguel Jaramillo  - ID SIGAA 000210186 - MS SQL Server 2025 (Docker)
Etapa 5 - Funcion con CTE y Window Functions

Pregunta: Para cada almacen y cada clase de conservacion, cuales fueron sus
episodios de exposicion termica -rachas de lecturas consecutivas fuera de
rango-, cuanto duro cada racha, que tan lejos del limite llego, cuantas
unidades habia expuestas, como se acumula el tiempo de exposicion y cuales
son los episodios mas severos de cada almacen?

--- Los 10 episodios mas severos de la red para medicamentos congelados ---
            almacen             |    ciudad     | clase_conservacion | episodio |    fecha_inicio     |      fecha_fin      | lecturas | duracion_horas | ventana_exposicion_horas | desviacion_maxima_c | unidades_en_riesgo | horas_acumuladas | severidad_en_almacen 
 CEDI Bogotá 13                 | Bogotá        | Ambiente controlado |        1 | 2026-02-13 18:45:00 | 2026-07-30 23:05:00 |       46 |        4012.33 |                  4012.33 |               41.50 |              32241 |          4012.33 |                    1
 CEDI Bogotá 13                 | Bogotá        | Congelado           |        1 | 2026-02-13 18:45:00 | 2026-02-13 18:45:00 |        1 |           0.00 |                   306.67 |                0.90 |              26907 |             0.00 |                    4
 CEDI Bogotá 13                 | Bogotá        | Congelado           |        2 | 2026-07-27 18:44:00 | 2026-07-27 18:44:00 |        1 |           0.00 |                     3.50 |                1.50 |              26907 |             0.00 |                    3
 CEDI Bogotá 13                 | Bogotá        | Refrigerado         |        1 | 2026-02-13 18:45:00 | 2026-07-30 23:05:00 |       46 |        4012.33 |                  4012.33 |               28.50 |              44856 |          4012.33 |                    2
 CEDI Cartagena 1               | Cartagena     | Ambiente controlado |        1 | 2026-02-15 23:20:00 | 2026-08-01 12:46:00 |       33 |        3997.43 |                  3997.43 |               39.90 |              29875 |          3997.43 |                    1
 CEDI Cartagena 1               | Cartagena     | Refrigerado         |        1 | 2026-02-15 23:20:00 | 2026-08-01 12:46:00 |       33 |        3997.43 |                  3997.43 |               26.90 |              33894 |          3997.43 |                    2
 CEDI Cartagena 12              | Cartagena     | Ambiente controlado |        1 | 2026-02-05 17:15:00 | 2026-07-26 16:31:00 |       38 |        4103.27 |                  4103.27 |               19.80 |              55515 |          4103.27 |                    2
 CEDI Cartagena 12              | Cartagena     | Congelado           |        1 | 2026-02-05 17:15:00 | 2026-07-26 16:31:00 |       38 |        4103.27 |                  4103.27 |               24.10 |              10996 |          4103.27 |                    1
 CEDI Cartagena 12              | Cartagena     | Refrigerado         |        1 | 2026-03-19 07:34:00 | 2026-03-19 07:34:00 |        1 |           0.00 |                    67.85 |                1.10 |              31923 |             0.00 |                    5
 CEDI Cartagena 12              | Cartagena     | Refrigerado         |        2 | 2026-04-02 19:12:00 | 2026-04-02 19:12:00 |        1 |           0.00 |                   219.05 |                3.60 |              31923 |             0.00 |                    4
 CEDI Cartagena 12              | Cartagena     | Refrigerado         |        3 | 2026-05-20 03:22:00 | 2026-05-20 03:22:00 |        1 |           0.00 |                    24.55 |                0.60 |              31923 |             0.00 |                    6
 CEDI Cartagena 12              | Cartagena     | Refrigerado         |        4 | 2026-05-28 23:41:00 | 2026-05-28 23:41:00 |        1 |           0.00 |                    12.72 |                6.80 |              31923 |             0.00 |                    3
 CEDI Ibagué 17                 | Ibagué        | Ambiente controlado |        1 | 2026-02-04 10:58:00 | 2026-08-03 02:58:00 |       34 |        4312.00 |                  4312.00 |               43.10 |              49415 |          4312.00 |                    1
 CEDI Ibagué 17                 | Ibagué        | Congelado           |        1 | 2026-04-10 01:23:00 | 2026-04-10 01:23:00 |        1 |           0.00 |                   172.70 |                3.10 |              24606 |             0.00 |                    3
 CEDI Ibagué 17                 | Ibagué        | Congelado           |        2 | 2026-06-05 12:43:00 | 2026-06-05 12:43:00 |        1 |           0.00 |                   300.98 |                0.90 |              24606 |             0.00 |                    5
 CEDI Ibagué 17                 | Ibagué        | Congelado           |        3 | 2026-07-02 18:25:00 | 2026-07-02 18:25:00 |        1 |           0.00 |                   178.97 |                2.80 |              24606 |             0.00 |                    4
 CEDI Ibagué 17                 | Ibagué        | Congelado           |        4 | 2026-07-16 03:43:00 | 2026-07-16 03:43:00 |        1 |           0.00 |                    47.12 |                0.10 |              24606 |             0.00 |                    6
 CEDI Ibagué 17                 | Ibagué        | Refrigerado         |        1 | 2026-02-04 10:58:00 | 2026-08-03 02:58:00 |       34 |        4312.00 |                  4312.00 |               30.10 |              20030 |          4312.00 |                    2
 CEDI Medellín 16               | Medellín      | Ambiente controlado |        1 | 2026-02-09 14:37:00 | 2026-08-03 12:03:00 |       51 |        4197.43 |                  4197.43 |               19.30 |              37583 |          4197.43 |                    2
 CEDI Medellín 16               | Medellín      | Congelado           |        1 | 2026-02-09 14:37:00 | 2026-08-03 12:03:00 |       51 |        4197.43 |                  4197.43 |               25.70 |              51569 |          4197.43 |                    1
 CEDI Medellín 16               | Medellín      | Refrigerado         |        1 | 2026-04-11 17:21:00 | 2026-04-11 17:21:00 |        1 |           0.00 |                   160.95 |                1.00 |              32327 |             0.00 |                    6
 CEDI Medellín 16               | Medellín      | Refrigerado         |        2 | 2026-04-24 05:31:00 | 2026-04-24 05:31:00 |        1 |           0.00 |                   148.45 |                1.10 |              32327 |             0.00 |                    5
 CEDI Medellín 16               | Medellín      | Refrigerado         |        3 | 2026-06-10 19:41:00 | 2026-06-10 19:41:00 |        1 |           0.00 |                    32.23 |                2.70 |              32327 |             0.00 |                    4
 CEDI Medellín 16               | Medellín      | Refrigerado         |        4 | 2026-07-02 12:40:00 | 2026-07-15 14:47:00 |        2 |         314.12 |                   335.72 |                6.30 |              32327 |           314.12 |                    3
 CEDI Medellín 9                | Medellín      | Ambiente controlado |        1 | 2026-02-05 22:47:00 | 2026-08-01 15:37:00 |       32 |        4240.83 |                  4240.83 |               40.30 |              28629 |          4240.83 |                    1
 CEDI Medellín 9                | Medellín      | Congelado           |        1 | 2026-03-03 15:15:00 | 2026-03-03 15:15:00 |        1 |           0.00 |                   387.55 |                0.60 |              27805 |             0.00 |                    4
 CEDI Medellín 9                | Medellín      | Congelado           |        2 | 2026-03-22 18:08:00 | 2026-03-22 18:08:00 |        1 |           0.00 |                    33.85 |                0.40 |              27805 |             0.00 |                    6
 CEDI Medellín 9                | Medellín      | Congelado           |        3 | 2026-04-09 21:24:00 | 2026-04-09 21:24:00 |        1 |           0.00 |                   282.43 |                1.00 |              27805 |             0.00 |                    3
 CEDI Medellín 9                | Medellín      | Congelado           |        4 | 2026-04-24 02:32:00 | 2026-04-24 02:32:00 |        1 |           0.00 |                    60.05 |                0.60 |              27805 |             0.00 |                    4
 CEDI Medellín 9                | Medellín      | Congelado           |        5 | 2026-08-01 15:37:00 | 2026-08-01 15:37:00 |        1 |           0.00 |                     0.00 |                0.30 |              27805 |             0.00 |                    7
 CEDI Medellín 9                | Medellín      | Refrigerado         |        1 | 2026-02-05 22:47:00 | 2026-08-01 15:37:00 |       32 |        4240.83 |                  4240.83 |               27.30 |              13368 |          4240.83 |                    2
 CEDI Villavicencio 11          | Villavicencio | Ambiente controlado |        1 | 2026-02-04 00:42:00 | 2026-02-04 00:42:00 |        1 |           0.00 |                    22.38 |                0.30 |              36254 |             0.00 |                    4
 CEDI Villavicencio 11          | Villavicencio | Ambiente controlado |        2 | 2026-02-12 22:36:00 | 2026-02-15 03:33:00 |        2 |          52.95 |                   391.13 |                4.40 |              36254 |            52.95 |                    3
 CEDI Villavicencio 11          | Villavicencio | Ambiente controlado |        3 | 2026-05-25 04:16:00 | 2026-05-25 04:16:00 |        1 |           0.00 |                   426.25 |                0.20 |              36254 |            52.95 |                    6
 CEDI Villavicencio 11          | Villavicencio | Ambiente controlado |        4 | 2026-07-16 22:20:00 | 2026-07-16 22:20:00 |        1 |           0.00 |                    76.50 |                0.30 |              36254 |            52.95 |                    4
 CEDI Villavicencio 11          | Villavicencio | Congelado           |        1 | 2026-02-04 00:42:00 | 2026-08-03 17:16:00 |       41 |        4336.57 |                  4336.57 |               44.40 |              43633 |          4336.57 |                    1
 CEDI Villavicencio 11          | Villavicencio | Refrigerado         |        1 | 2026-02-04 00:42:00 | 2026-08-03 17:16:00 |       41 |        4336.57 |                  4336.57 |               21.40 |              30013 |          4336.57 |                    2
 CEDI Villavicencio 19          | Villavicencio | Ambiente controlado |        1 | 2026-02-05 16:42:00 | 2026-08-03 22:22:00 |       37 |        4301.67 |                  4301.67 |               38.70 |              23257 |          4301.67 |                    1
 CEDI Villavicencio 19          | Villavicencio | Congelado           |        1 | 2026-02-05 16:42:00 | 2026-02-11 02:02:00 |        2 |         129.33 |                   300.57 |                0.70 |              34417 |           129.33 |                    3
 CEDI Villavicencio 19          | Villavicencio | Refrigerado         |        1 | 2026-02-05 16:42:00 | 2026-08-03 22:22:00 |       37 |        4301.67 |                  4301.67 |               25.70 |              29650 |          4301.67 |                    2
 Planta Bogotá 2                | Bogotá        | Ambiente controlado |        1 | 2026-02-06 03:40:00 | 2026-08-02 03:12:00 |       37 |        4247.53 |                  4247.53 |               40.40 |              36937 |          4247.53 |                    1
 Planta Bogotá 2                | Bogotá        | Congelado           |        1 | 2026-06-19 09:21:00 | 2026-06-19 09:21:00 |        1 |           0.00 |                     2.47 |                1.60 |              22603 |             0.00 |                    3
 Planta Bogotá 2                | Bogotá        | Congelado           |        2 | 2026-08-02 03:12:00 | 2026-08-02 03:12:00 |        1 |           0.00 |                     0.00 |                0.40 |              22603 |             0.00 |                    4
 Planta Bogotá 2                | Bogotá        | Refrigerado         |        1 | 2026-02-06 03:40:00 | 2026-08-02 03:12:00 |       37 |        4247.53 |                  4247.53 |               27.40 |              27335 |          4247.53 |                    2
 Planta Bucaramanga 20          | Bucaramanga   | Ambiente controlado |        1 | 2026-02-05 17:23:00 | 2026-07-31 18:09:00 |       36 |        4224.77 |                  4224.77 |               16.50 |              36438 |          4224.77 |                    2
 Planta Bucaramanga 20          | Bucaramanga   | Congelado           |        1 | 2026-02-05 17:23:00 | 2026-07-31 18:09:00 |       36 |        4224.77 |                  4224.77 |               23.10 |              26287 |          4224.77 |                    1
 Planta Bucaramanga 20          | Bucaramanga   | Refrigerado         |        1 | 2026-04-08 11:37:00 | 2026-04-12 20:50:00 |        2 |         105.22 |                   155.03 |                2.00 |              30603 |           105.22 |                    3
 Planta Bucaramanga 20          | Bucaramanga   | Refrigerado         |        2 | 2026-07-16 13:25:00 | 2026-07-16 13:25:00 |        1 |           0.00 |                    93.77 |                3.50 |              30603 |           105.22 |                    4
 Planta Bucaramanga 23          | Bucaramanga   | Ambiente controlado |        1 | 2026-02-15 05:31:00 | 2026-07-30 03:40:00 |       45 |        3958.15 |                  3958.15 |               40.90 |              30691 |          3958.15 |                    1
 Planta Bucaramanga 23          | Bucaramanga   | Congelado           |        1 | 2026-03-03 13:02:00 | 2026-03-03 13:02:00 |        1 |           0.00 |                   194.83 |                0.30 |              34158 |             0.00 |                    6
 Planta Bucaramanga 23          | Bucaramanga   | Congelado           |        2 | 2026-04-08 10:57:00 | 2026-04-08 10:57:00 |        1 |           0.00 |                    80.53 |                0.90 |              34158 |             0.00 |                    3
 Planta Bucaramanga 23          | Bucaramanga   | Congelado           |        3 | 2026-05-04 08:50:00 | 2026-05-04 08:50:00 |        1 |           0.00 |                    32.67 |                0.40 |              34158 |             0.00 |                    5
 Planta Bucaramanga 23          | Bucaramanga   | Congelado           |        4 | 2026-07-11 08:33:00 | 2026-07-11 08:33:00 |        1 |           0.00 |                   216.62 |                0.90 |              34158 |             0.00 |                    3
 Planta Bucaramanga 23          | Bucaramanga   | Refrigerado         |        1 | 2026-02-15 05:31:00 | 2026-07-30 03:40:00 |       45 |        3958.15 |                  3958.15 |               27.90 |              42621 |          3958.15 |                    2
 Planta Cúcuta 21               | Cúcuta        | Ambiente controlado |        1 | 2026-02-08 03:59:00 | 2026-02-08 03:59:00 |        1 |           0.00 |                     8.85 |                4.40 |              32924 |             0.00 |                    4
 Planta Cúcuta 21               | Cúcuta        | Ambiente controlado |        2 | 2026-02-22 09:42:00 | 2026-02-22 09:42:00 |        1 |           0.00 |                   115.40 |                0.50 |              32924 |             0.00 |                    7
 Planta Cúcuta 21               | Cúcuta        | Ambiente controlado |        3 | 2026-03-29 17:07:00 | 2026-03-29 17:07:00 |        1 |           0.00 |                   167.17 |                0.40 |              32924 |             0.00 |                    8
 Planta Cúcuta 21               | Cúcuta        | Ambiente controlado |        4 | 2026-05-21 05:31:00 | 2026-05-25 10:01:00 |        2 |         100.50 |                   121.72 |                5.50 |              32924 |           100.50 |                    3
 Planta Cúcuta 21               | Cúcuta        | Ambiente controlado |        5 | 2026-06-04 19:02:00 | 2026-06-04 19:02:00 |        1 |           0.00 |                   384.02 |                3.10 |              32924 |           100.50 |                    5
 Planta Cúcuta 21               | Cúcuta        | Ambiente controlado |        6 | 2026-06-26 15:03:00 | 2026-06-26 15:03:00 |        1 |           0.00 |                   219.10 |                1.00 |              32924 |           100.50 |                    6
 Planta Cúcuta 21               | Cúcuta        | Congelado           |        1 | 2026-02-08 03:59:00 | 2026-07-29 04:01:00 |       32 |        4104.03 |                  4104.03 |               45.50 |              27372 |          4104.03 |                    1
 Planta Cúcuta 21               | Cúcuta        | Refrigerado         |        1 | 2026-02-08 03:59:00 | 2026-07-29 04:01:00 |       32 |        4104.03 |                  4104.03 |               22.50 |              22780 |          4104.03 |                    2
 Planta Cúcuta 22               | Cúcuta        | Ambiente controlado |        1 | 2026-05-04 07:46:00 | 2026-05-04 07:46:00 |        1 |           0.00 |                   194.75 |                4.10 |              78964 |             0.00 |                    4
 Planta Cúcuta 22               | Cúcuta        | Ambiente controlado |        2 | 2026-07-11 00:15:00 | 2026-07-11 00:15:00 |        1 |           0.00 |                    17.83 |                5.10 |              78964 |             0.00 |                    3
 Planta Cúcuta 22               | Cúcuta        | Congelado           |        1 | 2026-02-08 00:34:00 | 2026-08-02 21:27:00 |       45 |        4220.88 |                  4220.88 |               39.40 |              31934 |          4220.88 |                    1
 Planta Cúcuta 22               | Cúcuta        | Refrigerado         |        1 | 2026-02-08 00:34:00 | 2026-08-02 21:27:00 |       45 |        4220.88 |                  4220.88 |               16.40 |              28627 |          4220.88 |                    2
 Planta Ibagué 14               | Ibagué        | Ambiente controlado |        1 | 2026-02-05 18:31:00 | 2026-08-03 03:00:00 |       37 |        4280.48 |                  4280.48 |               40.10 |              22643 |          4280.48 |                    1
 Planta Ibagué 14               | Ibagué        | Congelado           |        1 | 2026-02-23 03:52:00 | 2026-02-23 03:52:00 |        1 |           0.00 |                    68.08 |                0.10 |              42202 |             0.00 |                    3
 Planta Ibagué 14               | Ibagué        | Refrigerado         |        1 | 2026-02-05 18:31:00 | 2026-08-03 03:00:00 |       37 |        4280.48 |                  4280.48 |               27.10 |              28072 |          4280.48 |                    2
 Planta Medellín 25             | Medellín      | Ambiente controlado |        1 | 2026-02-08 15:05:00 | 2026-08-03 14:13:00 |       52 |        4223.13 |                  4223.13 |               19.30 |              55161 |          4223.13 |                    2
 Planta Medellín 25             | Medellín      | Congelado           |        1 | 2026-02-08 15:05:00 | 2026-08-03 14:13:00 |       52 |        4223.13 |                  4223.13 |               28.80 |              37088 |          4223.13 |                    1
 Planta Medellín 25             | Medellín      | Refrigerado         |        1 | 2026-02-08 15:05:00 | 2026-02-08 15:09:00 |        2 |           0.07 |                    89.83 |                2.40 |              45058 |             0.07 |                    5
 Planta Medellín 25             | Medellín      | Refrigerado         |        2 | 2026-02-22 00:37:00 | 2026-02-22 00:37:00 |        1 |           0.00 |                    32.55 |                6.30 |              45058 |             0.07 |                    6
 Planta Medellín 25             | Medellín      | Refrigerado         |        3 | 2026-03-26 19:32:00 | 2026-03-26 19:32:00 |        1 |           0.00 |                   365.28 |                1.00 |              45058 |             0.07 |                    7
 Planta Medellín 25             | Medellín      | Refrigerado         |        4 | 2026-04-18 21:16:00 | 2026-04-18 21:16:00 |        1 |           0.00 |                    40.92 |                0.40 |              45058 |             0.07 |                    8
 Planta Medellín 25             | Medellín      | Refrigerado         |        5 | 2026-05-25 03:00:00 | 2026-05-25 16:58:00 |        2 |          13.97 |                   343.67 |                0.20 |              45058 |            14.04 |                    4
 Planta Medellín 25             | Medellín      | Refrigerado         |        6 | 2026-06-29 04:05:00 | 2026-06-29 04:05:00 |        1 |           0.00 |                   259.78 |                0.10 |              45058 |            14.04 |                    9
 Planta Medellín 25             | Medellín      | Refrigerado         |        7 | 2026-07-20 12:17:00 | 2026-07-22 03:11:00 |        2 |          38.90 |                    57.08 |                5.80 |              45058 |            52.94 |                    3
 Planta Pereira 4               | Pereira       | Ambiente controlado |        1 | 2026-03-17 23:29:00 | 2026-03-17 23:29:00 |        1 |           0.00 |                    53.73 |                3.10 |              36496 |             0.00 |                    4
 Planta Pereira 4               | Pereira       | Ambiente controlado |        2 | 2026-04-09 15:31:00 | 2026-04-09 15:31:00 |        1 |           0.00 |                   244.88 |                2.40 |              36496 |             0.00 |                    5
 Planta Pereira 4               | Pereira       | Ambiente controlado |        3 | 2026-07-22 14:10:00 | 2026-07-22 14:10:00 |        1 |           0.00 |                   123.23 |                3.90 |              36496 |             0.00 |                    3
 Planta Pereira 4               | Pereira       | Congelado           |        1 | 2026-02-04 10:22:00 | 2026-07-29 15:31:00 |       39 |        4205.15 |                  4205.15 |               43.10 |              19575 |          4205.15 |                    1
 Planta Pereira 4               | Pereira       | Refrigerado         |        1 | 2026-02-04 10:22:00 | 2026-07-29 15:31:00 |       39 |        4205.15 |                  4205.15 |               20.10 |              32676 |          4205.15 |                    2
 Planta Pereira 7               | Pereira       | Ambiente controlado |        1 | 2026-02-14 04:25:00 | 2026-02-14 04:25:00 |        1 |           0.00 |                    88.83 |                2.30 |              41663 |             0.00 |                    3
 Planta Pereira 7               | Pereira       | Ambiente controlado |        2 | 2026-05-28 22:16:00 | 2026-05-28 22:16:00 |        1 |           0.00 |                    60.78 |                0.20 |              41663 |             0.00 |                    5
 Planta Pereira 7               | Pereira       | Ambiente controlado |        3 | 2026-07-06 08:20:00 | 2026-07-06 08:20:00 |        1 |           0.00 |                    32.22 |                0.40 |              41663 |             0.00 |                    4
 Planta Pereira 7               | Pereira       | Congelado           |        1 | 2026-02-14 04:25:00 | 2026-08-03 03:44:00 |       46 |        4079.32 |                  4079.32 |               40.40 |              20142 |          4079.32 |                    1
 Planta Pereira 7               | Pereira       | Refrigerado         |        1 | 2026-02-14 04:25:00 | 2026-08-03 03:44:00 |       46 |        4079.32 |                  4079.32 |               17.40 |              54044 |          4079.32 |                    2
 Planta Pereira 8               | Pereira       | Ambiente controlado |        1 | 2026-02-04 01:54:00 | 2026-07-31 18:30:00 |       40 |        4264.60 |                  4264.60 |               14.00 |              36673 |          4264.60 |                    2
 Planta Pereira 8               | Pereira       | Congelado           |        1 | 2026-02-04 01:54:00 | 2026-07-31 18:30:00 |       40 |        4264.60 |                  4264.60 |               24.10 |              23334 |          4264.60 |                    1
 Planta Pereira 8               | Pereira       | Refrigerado         |        1 | 2026-02-15 12:04:00 | 2026-02-28 01:18:00 |        2 |         301.23 |                   527.97 |                0.80 |              28222 |           301.23 |                    3
 Planta Pereira 8               | Pereira       | Refrigerado         |        2 | 2026-04-19 12:09:00 | 2026-04-19 12:09:00 |        1 |           0.00 |                   319.67 |                0.50 |              28222 |           301.23 |                    6
 Planta Pereira 8               | Pereira       | Refrigerado         |        3 | 2026-05-24 09:36:00 | 2026-05-24 09:36:00 |        1 |           0.00 |                     4.37 |                1.00 |              28222 |           301.23 |                    5
 Planta Pereira 8               | Pereira       | Refrigerado         |        4 | 2026-06-26 09:14:00 | 2026-06-26 09:14:00 |        1 |           0.00 |                   158.57 |                1.10 |              28222 |           301.23 |                    4
 Unidad de Salud Barranquilla 5 | Barranquilla  | Ambiente controlado |        1 | 2026-03-01 09:39:00 | 2026-03-01 09:39:00 |        1 |           0.00 |                    42.53 |                0.20 |              26494 |             0.00 |                    8
 Unidad de Salud Barranquilla 5 | Barranquilla  | Ambiente controlado |        2 | 2026-03-10 20:43:00 | 2026-03-10 20:43:00 |        1 |           0.00 |                    24.13 |                4.50 |              26494 |             0.00 |                    3
 Unidad de Salud Barranquilla 5 | Barranquilla  | Ambiente controlado |        3 | 2026-04-05 20:23:00 | 2026-04-05 20:23:00 |        1 |           0.00 |                   222.62 |                1.00 |              26494 |             0.00 |                    4
 Unidad de Salud Barranquilla 5 | Barranquilla  | Ambiente controlado |        4 | 2026-05-02 13:36:00 | 2026-05-02 13:36:00 |        1 |           0.00 |                   148.65 |                0.40 |              26494 |             0.00 |                    6
 Unidad de Salud Barranquilla 5 | Barranquilla  | Ambiente controlado |        5 | 2026-05-09 12:23:00 | 2026-05-09 12:23:00 |        1 |           0.00 |                   121.50 |                0.30 |              26494 |             0.00 |                    7
 Unidad de Salud Barranquilla 5 | Barranquilla  | Ambiente controlado |        6 | 2026-05-29 17:10:00 | 2026-05-29 17:10:00 |        1 |           0.00 |                   100.97 |                0.20 |              26494 |             0.00 |                    8
 Unidad de Salud Barranquilla 5 | Barranquilla  | Ambiente controlado |        7 | 2026-07-26 23:25:00 | 2026-07-26 23:25:00 |        1 |           0.00 |                     0.00 |                0.50 |              26494 |             0.00 |                    5
 Unidad de Salud Barranquilla 5 | Barranquilla  | Congelado           |        1 | 2026-02-13 17:51:00 | 2026-07-26 23:25:00 |       38 |        3917.57 |                  3917.57 |               40.50 |              27807 |          3917.57 |                    1
 Unidad de Salud Barranquilla 5 | Barranquilla  | Refrigerado         |        1 | 2026-02-13 17:51:00 | 2026-07-26 23:25:00 |       38 |        3917.57 |                  3917.57 |               17.50 |              33676 |          3917.57 |                    2
 Unidad de Salud Bucaramanga 15 | Bucaramanga   | Ambiente controlado |        1 | 2026-02-04 23:02:00 | 2026-07-26 22:51:00 |       39 |        4127.82 |                  4127.82 |               13.30 |              36603 |          4127.82 |                    2
 Unidad de Salud Bucaramanga 15 | Bucaramanga   | Congelado           |        1 | 2026-02-04 23:02:00 | 2026-07-26 22:51:00 |       39 |        4127.82 |                  4127.82 |               26.50 |              41502 |          4127.82 |                    1
 Unidad de Salud Bucaramanga 15 | Bucaramanga   | Refrigerado         |        1 | 2026-02-04 23:02:00 | 2026-02-04 23:02:00 |        1 |           0.00 |                    72.42 |                0.20 |              32969 |             0.00 |                    7
 Unidad de Salud Bucaramanga 15 | Bucaramanga   | Refrigerado         |        2 | 2026-02-18 17:29:00 | 2026-02-18 17:29:00 |        1 |           0.00 |                   143.45 |                3.50 |              32969 |             0.00 |                    3
 Unidad de Salud Bucaramanga 15 | Bucaramanga   | Refrigerado         |        3 | 2026-06-02 08:54:00 | 2026-06-02 08:54:00 |        1 |           0.00 |                    50.07 |                0.30 |              32969 |             0.00 |                    6
 Unidad de Salud Bucaramanga 15 | Bucaramanga   | Refrigerado         |        4 | 2026-06-18 15:56:00 | 2026-06-18 15:56:00 |        1 |           0.00 |                   219.70 |                0.70 |              32969 |             0.00 |                    5
 Unidad de Salud Bucaramanga 15 | Bucaramanga   | Refrigerado         |        5 | 2026-07-26 22:51:00 | 2026-07-26 22:51:00 |        1 |           0.00 |                     0.00 |                1.00 |              32969 |             0.00 |                    4
 Unidad de Salud Medellín 18    | Medellín      | Ambiente controlado |        1 | 2026-02-08 16:52:00 | 2026-07-30 15:48:00 |       39 |        4126.93 |                  4126.93 |               40.70 |              24198 |          4126.93 |                    1
 Unidad de Salud Medellín 18    | Medellín      | Congelado           |        1 | 2026-03-20 13:56:00 | 2026-03-20 13:56:00 |        1 |           0.00 |                   274.00 |                5.70 |              31542 |             0.00 |                    3
 Unidad de Salud Medellín 18    | Medellín      | Congelado           |        2 | 2026-04-25 04:52:00 | 2026-04-25 04:52:00 |        1 |           0.00 |                    16.98 |                0.40 |              31542 |             0.00 |                    5
 Unidad de Salud Medellín 18    | Medellín      | Congelado           |        3 | 2026-05-14 16:26:00 | 2026-05-14 16:26:00 |        1 |           0.00 |                    24.65 |                0.20 |              31542 |             0.00 |                    6
 Unidad de Salud Medellín 18    | Medellín      | Congelado           |        4 | 2026-05-23 20:57:00 | 2026-05-23 20:57:00 |        1 |           0.00 |                    83.03 |                0.70 |              31542 |             0.00 |                    4
